"Entrez Gene ID","Gene symbol","Gene description","Number of enriched GO terms"
14412,"Slc6a13","solute carrier family 6 (neurotransmitter transporter, GABA), member 13 [Source:MGI Symbol;Acc:MGI:95629]",9
245526,"Pgr15l","G protein-coupled receptor 15-like [Source:MGI Symbol;Acc:MGI:2676330]",2
13599,"Ecel1","endothelin converting enzyme-like 1 [Source:MGI Symbol;Acc:MGI:1343461]",1
75404,"Arhgap36","Rho GTPase activating protein 36 [Source:MGI Symbol;Acc:MGI:1922654]",5
50916,"Irx4","Iroquois homeobox 4 [Source:MGI Symbol;Acc:MGI:1355275]",3
225998,"Rorb","RAR-related orphan receptor beta [Source:MGI Symbol;Acc:MGI:1343464]",7
20669,"Sox14","SRY (sex determining region Y)-box 14 [Source:MGI Symbol;Acc:MGI:98362]",7
74237,"Tubgcp2","tubulin, gamma complex component 2 [Source:MGI Symbol;Acc:MGI:1921487]",5
11922,"Neurod6","neurogenic differentiation 6 [Source:MGI Symbol;Acc:MGI:106593]",4
241134,"Nyap2","neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2 [Source:MGI Symbol;Acc:MGI:2443135]",3
212712,"Satb2","special AT-rich sequence binding protein 2 [Source:MGI Symbol;Acc:MGI:2679336]",5
22239,"Ugt8a","UDP galactosyltransferase 8A [Source:MGI Symbol;Acc:MGI:109522]",3
18164,"Nptx1","neuronal pentraxin 1 [Source:MGI Symbol;Acc:MGI:107811]",2
100532,"Rell1","RELT-like 1 [Source:MGI Symbol;Acc:MGI:2140767]",3
547253,"Parp14","poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]",3
76747,"Dapl1","death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997]",2
18710,"Pik3r3","phosphoinositide-3-kinase regulatory subunit 3 [Source:MGI Symbol;Acc:MGI:109277]",10
50766,"Crim1","cysteine rich transmembrane BMP regulator 1 [Source:MGI Symbol;Acc:MGI:1354756]",6
20183,"Rxrg","retinoid X receptor gamma [Source:MGI Symbol;Acc:MGI:98216]",4
71897,"Lypd6b","LY6/PLAUR domain containing 6B [Source:MGI Symbol;Acc:MGI:1919147]",1
230751,"Oscp1","organic solute carrier partner 1 [Source:MGI Symbol;Acc:MGI:1916308]",3
17528,"Mpz","myelin protein zero [Source:MGI Symbol;Acc:MGI:103177]",2
67182,"Pdzk1ip1","PDZK1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914432]",1
21393,"Tcap","titin-cap [Source:MGI Symbol;Acc:MGI:1330233]",9
54132,"Pdlim1","PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611]",4
17064,"Cd93","CD93 antigen [Source:MGI Symbol;Acc:MGI:106664]",6
12411,"Cbs","cystathionine beta-synthase [Source:MGI Symbol;Acc:MGI:88285]",11
