"Gene Set ID","Gene Set Name","# Genes in Gene Set (K)","Description","# Genes in Overlap (k)","k/K","p-value","FDR q-value"
76,"GOBP_REGULATION_OF_TUBE_SIZE",204,"Ensuring that a tube is of the correct length and diameter. Tube size must be maintained not only during tube formation, but also throughout development and in some physiological processes. [PMID:10887083]",19,0.0931,4.73e-16,6.68e-14
77,"GOMF_HORMONE_ACTIVITY",148,"The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process. [GOC:dph, GOC:mah, ISBN:0198506732]",17,0.1149,4.92e-16,6.87e-14
78,"GOBP_REGULATION_OF_LOCOMOTION",1159,"Any process that modulates the frequency, rate or extent of locomotion of a cell or organism. [GOC:ems]",39,0.0336,5.71e-16,7.86e-14
79,"GOCC_SECRETORY_VESICLE",817,"A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space. [GOC:dos]",33,0.0404,6.84e-16,9.3e-14
80,"GOCC_POSTSYNAPSE",1113,"The part of a synapse that is part of the post-synaptic cell. [GOC:dos]",38,0.0341,8.76e-16,1.18e-13
81,"GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT",524,"Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:jl]",27,0.0515,9.78e-16,1.3e-13
82,"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",1378,"The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome. [GOC:dph, GOC:jid, GOC:tb]",42,0.0305,1.21e-15,1.59e-13
83,"GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS",132,"Any process that results in a change in state or activity of a multicellular organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation). [GOC:mah]",16,0.1212,1.52e-15,1.97e-13
84,"GOBP_AMINE_TRANSPORT",133,"The directed movement of amines, including polyamines, organic compounds containing one or more amino groups, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai, ISBN:0198506732]",16,0.1203,1.72e-15,2.2e-13
85,"GOBP_RESPONSE_TO_NITROGEN_COMPOUND",1274,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus. [GOC:pr, GOC:TermGenie]",40,0.0314,2.33e-15,2.93e-13
86,"GOBP_RESPONSE_TO_ABIOTIC_STIMULUS",1339,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus. [GOC:hb]",41,0.0306,2.34e-15,2.93e-13
87,"GOBP_HEART_DEVELOPMENT",717,"The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. [GOC:jid, UBERON:0000948]",30,0.0418,6.06e-15,7.48e-13
88,"GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION",1652,"Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment. [GOC:dph, GOC:tb]",45,0.0272,6.14e-15,7.5e-13
89,"GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM",270,"A circulatory process that occurs at the level of the vasculature. [GOC:mtg_cardio]",20,0.0741,6.6e-15,7.97e-13
90,"GOBP_MUSCLE_CONTRACTION",387,"A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. [GOC:ef, GOC:mtg_muscle, ISBN:0198506732]",23,0.0594,6.89e-15,8.23e-13
91,"GOCC_PRESYNAPTIC_MEMBRANE",276,"A specialized area of membrane of the axon terminal that faces the plasma membrane of the neuron or muscle fiber with which the axon terminal establishes a synaptic junction; many synaptic junctions exhibit structural presynaptic characteristics, such as conical, electron-dense internal protrusions, that distinguish it from the remainder of the axon plasma membrane. [GOC:jl, ISBN:0815316194]",20,0.0725,1e-14,1.19e-12
92,"GOBP_EPITHELIAL_CELL_PROLIFERATION",485,"The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances. [ISBN:0721662544]",25,0.0515,1.16e-14,1.36e-12
93,"GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY",1083,"The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling, ISBN:0815316194]",36,0.0332,1.18e-14,1.37e-12
94,"GOBP_RHYTHMIC_PROCESS",357,"Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism. [GOC:jid]",22,0.0616,1.29e-14,1.48e-12
95,"GOCC_GABA_ERGIC_SYNAPSE",180,"A synapse that uses GABA as a neurotransmitter. These synapses are typically inhibitory. [GOC:dos]",17,0.0944,1.34e-14,1.52e-12
96,"GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX",358,"A protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective monoatomic ion transport down its electrochemical gradient. [GOC:mah, ISBN:071673706X]",22,0.0615,1.37e-14,1.53e-12
97,"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE",596,"Any process that modulates the size of an anatomical structure. [GOC:dph, GOC:tb]",27,0.0453,2.2e-14,2.43e-12
98,"GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING",1106,"Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site, located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by some RNA polymerase. Cis-regulatory sites are often referred to as a sequence motifs, enhancers, or silencers. [GOC:txnOH-2018]",36,0.0325,2.22e-14,2.43e-12
99,"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",187,"Any process that modulates the potential difference across a post-synaptic membrane. [GOC:dph, GOC:ef]",17,0.0909,2.53e-14,2.74e-12
100,"GOBP_DEVELOPMENTAL_GROWTH",872,"The increase in size or mass of an entire organism, a part of an organism or a cell, where the increase in size or mass has the specific outcome of the progression of the organism over time from one condition to another. [GOC:go_curators]",32,0.0367,2.69e-14,2.89e-12
