
Overlap Results

Collection(s):	GO
# overlaps shown:	100
# genesets in collections:	10747
# genes in comparison (n):	322
# genes in universe (N):	46395

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
Entrez Gene Id	Gene Symbol	Gene Description	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION	GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS	GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GOBP_HEAD_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_FEEDING_BEHAVIOR	GOMF_PEPTIDE_RECEPTOR_ACTIVITY	GOCC_POSTSYNAPTIC_MEMBRANE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOBP_METAL_ION_TRANSPORT	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON	GOBP_TUBE_DEVELOPMENT	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	GOBP_SKELETAL_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_BLOOD_PRESSURE	GOCC_CELL_SURFACE	GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOBP_REGULATION_OF_TUBE_SIZE	GOMF_HORMONE_ACTIVITY	GOBP_REGULATION_OF_LOCOMOTION	GOCC_SECRETORY_VESICLE	GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION	GOCC_PRESYNAPTIC_MEMBRANE	GOBP_EPITHELIAL_CELL_PROLIFERATION	GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GOBP_RHYTHMIC_PROCESS	GOCC_GABA_ERGIC_SYNAPSE	GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_DEVELOPMENTAL_GROWTH
109648	Npy	neuropeptide Y [Source:MGI Symbol;Acc:MGI:97374]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY							GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY				GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GOBP_HEAD_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS				GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS		GOCC_DISTAL_AXON			GOBP_REGULATION_OF_BEHAVIOR			GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE	GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY				GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOMF_HORMONE_ACTIVITY		GOCC_SECRETORY_VESICLE							GOBP_RESPONSE_TO_ABIOTIC_STIMULUS									GOCC_GABA_ERGIC_SYNAPSE					GOBP_DEVELOPMENTAL_GROWTH
12918	Crh	corticotropin releasing hormone [Source:MGI Symbol;Acc:MGI:88496]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT			GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION					GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING	GOBP_HEAD_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR				GOBP_METAL_ION_TRANSPORT					GOBP_TUBE_DEVELOPMENT		GOBP_REGULATION_OF_BEHAVIOR			GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE			GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_AMINO_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOMF_HORMONE_ACTIVITY		GOCC_SECRETORY_VESICLE		GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND			GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION											GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
19699	Reln	reelin [Source:MGI Symbol;Acc:MGI:103022]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		GOBP_COGNITION		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION		GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION			GOBP_CELL_MOTILITY	GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL		GOBP_HEAD_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT							GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE								GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION		GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION					GOBP_CELL_ADHESION	GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT						GOBP_REGULATION_OF_LOCOMOTION			GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS																GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
12424	Cck	cholecystokinin [Source:MGI Symbol;Acc:MGI:88297]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE	GOCC_AXON		GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE						GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOBP_CELL_MIGRATION					GOCC_NEURON_PROJECTION_TERMINUS	GOBP_CELL_MOTILITY		GOBP_SECRETION				GOBP_EXPORT_FROM_CELL							GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR						GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS		GOCC_DISTAL_AXON			GOBP_REGULATION_OF_BEHAVIOR										GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_AMINO_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION		GOMF_HORMONE_ACTIVITY		GOCC_SECRETORY_VESICLE				GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	GOBP_AMINE_TRANSPORT		GOBP_RESPONSE_TO_ABIOTIC_STIMULUS									GOCC_GABA_ERGIC_SYNAPSE					
20370	Sez6	seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR	GOCC_EXTRACELLULAR_SPACE				GOCC_CELL_BODY				GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS					GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS				GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_REGULATION_OF_MEMBRANE_POTENTIAL																GOBP_HEAD_DEVELOPMENT						GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS																						GOBP_NEURON_DEVELOPMENT										GOCC_POSTSYNAPSE																			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
22226	Ucn	urocortin [Source:MGI Symbol;Acc:MGI:1276123]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR		GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING		GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT			GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS				GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY		GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS		GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION		GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION		GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION		GOBP_FEEDING_BEHAVIOR				GOBP_METAL_ION_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON			GOBP_REGULATION_OF_BEHAVIOR			GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEURON_DEVELOPMENT	GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_TRANSPORT				GOBP_REGULATION_OF_TUBE_SIZE	GOMF_HORMONE_ACTIVITY				GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS			GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION							GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE			
193034	Trpv1	transient receptor potential cation channel, subfamily V, member 1 [Source:MGI Symbol;Acc:MGI:1341787]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR		GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE	GOBP_GENERATION_OF_NEURONS	GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS		GOBP_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT	GOBP_EXPORT_FROM_CELL			GOBP_CIRCULATORY_SYSTEM_PROCESS	GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION		GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS			GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON		GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT							GOBP_REGULATION_OF_BLOOD_PRESSURE	GOCC_CELL_SURFACE	GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEURON_DEVELOPMENT		GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT		GOBP_REGULATION_OF_TUBE_SIZE				GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT		GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS		GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS	GOBP_HEART_DEVELOPMENT		GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION					GOCC_GABA_ERGIC_SYNAPSE		GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE		GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
11539	Adora1	adenosine A1 receptor [Source:MGI Symbol;Acc:MGI:99401]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR		GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT	GOMF_SIGNALING_RECEPTOR_BINDING	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT		GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_COGNITION	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS			GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		GOBP_CELL_MIGRATION			GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION	GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS	GOBP_CELL_MOTILITY		GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE		GOBP_EXPORT_FROM_CELL	GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING		GOBP_CIRCULATORY_SYSTEM_PROCESS			GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION				GOCC_POSTSYNAPTIC_MEMBRANE		GOBP_METAL_ION_TRANSPORT		GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GOBP_MUSCLE_SYSTEM_PROCESS	GOCC_DISTAL_AXON			GOBP_REGULATION_OF_BEHAVIOR	GOBP_LOCOMOTION		GOBP_SIGNAL_RELEASE	GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION		GOBP_REGULATION_OF_BLOOD_PRESSURE		GOBP_NEGATIVE_REGULATION_OF_BLOOD_PRESSURE				GOBP_POSITIVE_REGULATION_OF_TRANSPORT		GOBP_AMINO_ACID_TRANSPORT		GOBP_REGULATION_OF_TUBE_SIZE		GOBP_REGULATION_OF_LOCOMOTION		GOCC_POSTSYNAPSE	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT			GOBP_AMINE_TRANSPORT	GOBP_RESPONSE_TO_NITROGEN_COMPOUND	GOBP_RESPONSE_TO_ABIOTIC_STIMULUS		GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_MUSCLE_CONTRACTION	GOCC_PRESYNAPTIC_MEMBRANE			GOBP_RHYTHMIC_PROCESS			GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE		GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
14805	Grik1	glutamate receptor, ionotropic, kainate 1 [Source:MGI Symbol;Acc:MGI:95814]	GOBP_CELL_CELL_SIGNALING	GOBP_SYNAPTIC_SIGNALING	GOCC_NEURON_PROJECTION	GOCC_SOMATODENDRITIC_COMPARTMENT	GOBP_BEHAVIOR		GOCC_AXON	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING		GOCC_CELL_BODY	GOBP_REGULATION_OF_TRANSPORT			GOCC_DENDRITIC_TREE		GOCC_PRESYNAPSE		GOBP_REGULATION_OF_SYSTEM_PROCESS	GOBP_MONOATOMIC_ION_TRANSPORT							GOBP_REGULATION_OF_MEMBRANE_POTENTIAL				GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT		GOCC_SYNAPTIC_MEMBRANE	GOCC_NEURON_PROJECTION_TERMINUS			GOBP_SECRETION	GOCC_PLASMA_MEMBRANE_REGION	GOBP_INTRACELLULAR_SIGNALING_CASSETTE	GOBP_TRANSMEMBRANE_TRANSPORT							GOBP_MONOATOMIC_CATION_TRANSPORT	GOBP_REGULATION_OF_SECRETION				GOCC_POSTSYNAPTIC_MEMBRANE						GOCC_DISTAL_AXON		GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT													GOBP_POSITIVE_REGULATION_OF_TRANSPORT	GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOBP_AMINO_ACID_TRANSPORT						GOCC_POSTSYNAPSE			GOBP_MULTICELLULAR_ORGANISMAL_RESPONSE_TO_STRESS	GOBP_AMINE_TRANSPORT				GOBP_NEGATIVE_REGULATION_OF_CELL_COMMUNICATION			GOCC_PRESYNAPTIC_MEMBRANE					GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX			GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	
