"gene","p0g","geosvg_pred","scbsp_pvalue","scbsp_pred","raw_zero_prop","category"
"MEOX1",0.0915,1,0.813580862092439,0,0.997503256621798,"GeoSVG-3D only"
"TFAP2D",0.0935,1,0.949337991806766,0,0.997611810681719,"GeoSVG-3D only"
"CD74",0.096,1,0.117462410824578,0,0.959834997828919,"GeoSVG-3D only"
"LRG1",0.102,1,0.90212679223265,0,0.996634824142423,"GeoSVG-3D only"
"PBX3",0.107,1,0.340220292307012,0,0.973295701259227,"GeoSVG-3D only"
"DLK1",0.1305,1,0.000148435251194567,1,0.682045158488927,"Both"
"SST",0.1365,1,0.0106578432408271,1,0.919561441597916,"Both"
"RLN3",0.142,1,0.755320862355878,0,0.991966999565784,"GeoSVG-3D only"
"TRP73",0.1625,1,0.804683060958369,0,0.994246634824142,"GeoSVG-3D only"
"SLC17A6",0.1875,1,0.0873103421414859,0,0.937038645245332,"GeoSVG-3D only"
"NXPH4",0.2885,1,0.310797834317994,0,0.982848458532349,"GeoSVG-3D only"
"TNF",0.317,1,0.657849104220955,0,0.991966999565784,"GeoSVG-3D only"
"NDST4",0.345,1,0.0486854375753978,1,0.931502388189318,"Both"
"ADA",0.3505,1,0.868568282883127,0,0.996309161962657,"GeoSVG-3D only"
"LMO3",0.3525,1,0.00190468909455543,1,0.874620060790274,"Both"
"NDUFA4L2",0.3745,1,0.754622967832911,0,0.995223621363439,"GeoSVG-3D only"
"CHRNA3",0.436,1,0.861762071328865,0,0.995006513243595,"GeoSVG-3D only"
"NPTX2",0.546,1,0.0167435817415325,1,0.898501953973079,"Both"
"CRYM",0.6225,1,0.0913408874262487,0,0.970473295701259,"GeoSVG-3D only"
"CHRNB3",0.637,1,0.789970422158799,0,0.994029526704299,"GeoSVG-3D only"
"GRP",0.6965,1,0.226926761618796,0,0.968953538862353,"GeoSVG-3D only"
"GNRHR",0.7405,1,0.891642213801622,0,0.995983499782892,"GeoSVG-3D only"
"CASR",0.755,1,0.888459169640862,0,0.996200607902736,"GeoSVG-3D only"
"ZMYM1",0.87,1,0.51399121698909,0,0.980351715154147,"GeoSVG-3D only"
"BRCA1",0.8885,1,0.841057419767621,0,0.995332175423361,"GeoSVG-3D only"
"ADM",0.896,1,0.614903026636328,0,0.994355188884064,"GeoSVG-3D only"
"HSPA1A",0.897,1,0.688185812054669,0,0.994029526704299,"GeoSVG-3D only"
